CLAVE,NOMBRE,ESTADO,MUNICIPIO,ORG_CUENCA,CUENCA,TIPO_EST,INICIO,MAS_RECIENTE,SITUACION,LONGITUD,LATITUD,ALTITUD,DIARIOS,MENSUALES,EXTREMOS,NORMALES_1961_1990,NORMALES_1971_2000,NORMALES_1981_2010,NORMALES_1991_2020
1001, AGUASCALIENTES (OBS),AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,PRESA EL NIÁGARA,OBSERVATORIO,1878-01-01,2024-07-15,OPERANDO,-102.2908333,21.85027778,1890.8,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01001.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01001.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01001.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01001.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01001.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01001.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01001.txt
1004, CAÑADA HONDA,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,PRESA EL NIÁGARA,CLIMATOLÓGICA,1970-03-01,2024-04-30,OPERANDO,-102.1988889,22.00083333,1925,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01004.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01004.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01004.txt,,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01004.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01004.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01004.txt
1005, PRESA EL NIAGARA,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,PRESA EL NIÁGARA,CLIMATOLÓGICA,1957-04-01,2024-07-15,OPERANDO,-102.3716667,21.78055556,1844,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01005.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01005.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01005.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01005.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01005.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01005.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01005.txt
1008, PUERTO DE LA CONCEPCION,AGUASCALIENTES,TEPEZALÁ,LERMA SANTIAGO PACÍFICO,RÍO SAN PEDRO,CLIMATOLÓGICA,1959-07-01,2024-07-15,OPERANDO,-102.135,22.20277778,2322.8,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01008.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01008.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01008.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01008.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01008.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01008.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01008.txt
1010, LA TINAJA,AGUASCALIENTES,SAN JOSÉ DE GRACIA,LERMA SANTIAGO PACÍFICO,PRESA CALLES,CLIMATOLÓGICA,1961-08-01,2024-01-31,OPERANDO,-102.5541667,22.16444444,2525.7,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01010.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01010.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01010.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01010.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01010.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01010.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01010.txt
1011, MALPASO,AGUASCALIENTES,CALVILLO,LERMA SANTIAGO PACÍFICO,RÍO JUCHIPILA 1,CLIMATOLÓGICA,1949-03-01,2024-03-31,OPERANDO,-102.6638889,21.86,1730.2,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01011.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01011.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01011.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01011.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01011.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01011.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01011.txt
1012, PRESA MEDIA LUNA,AGUASCALIENTES,CALVILLO,LERMA SANTIAGO PACÍFICO,RÍO JUCHIPILA 1,CLIMATOLÓGICA,1970-07-01,2024-07-15,OPERANDO,-102.8016667,21.79444444,1588.7,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01012.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01012.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01012.txt,,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01012.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01012.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01012.txt
1013, MESILLAS,AGUASCALIENTES,TEPEZALÁ,LERMA SANTIAGO PACÍFICO,RÍO SAN PEDRO,CLIMATOLÓGICA,1963-09-01,2023-12-31,OPERANDO,-102.1658333,22.31333333,2020.5,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01013.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01013.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01013.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01013.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01013.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01013.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01013.txt
1014, PABELLON CAMPO EXPERIMENTAL,AGUASCALIENTES,PABELLÓN DE ARTEAGA,LERMA SANTIAGO PACÍFICO,RÍO SAN PEDRO,CLIMATOLÓGICA,1937-10-01,2021-12-31,OPERANDO,-102.2927778,22.16694444,1933.7,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01014.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01014.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01014.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01014.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01014.txt,,
1015, PALO ALTO,AGUASCALIENTES,EL LLANO,LERMA SANTIAGO PACÍFICO,RÍO ENCARNACIÓN,CLIMATOLÓGICA,1967-05-01,2024-04-30,OPERANDO,-101.9694444,21.91638889,2037.5,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01015.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01015.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01015.txt,,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01015.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01015.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01015.txt
